Date,Timestamp,Adj Close,date,Negative,Nuetral,Positive,sentiment_of_the_period,sentiment_of_the_day
2021-04-05 16:15:00,1617639300000,58876.62,2021-04-05 16:15:00,0.0,1.0,3.0,Positive,Positive
2021-04-05 16:20:00,1617639600000,59066.6,2021-04-05 16:20:00,0.0,4.0,1.0,Nuetral,Nuetral
2021-04-05 16:25:00,1617639900000,59051.32,2021-04-05 16:25:00,1.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 16:30:00,1617640200000,59138.8,2021-04-05 16:30:00,1.0,8.0,1.0,Nuetral,Nuetral
2021-04-05 16:35:00,1617640500000,59076.98,2021-04-05 16:35:00,1.0,2.0,1.0,Nuetral,Nuetral
2021-04-05 16:40:00,1617640800000,59050.0,2021-04-05 16:40:00,0.0,5.0,4.0,Nuetral,Nuetral
2021-04-05 16:45:00,1617641100000,58982.19,2021-04-05 16:45:00,0.0,5.0,2.0,Nuetral,Nuetral
2021-04-05 16:50:00,1617641400000,58916.47,2021-04-05 16:50:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-05 16:55:00,1617641700000,58975.6,2021-04-05 16:55:00,1.0,2.0,2.0,Nuetral,Nuetral
2021-04-05 17:00:00,1617642000000,58956.28,2021-04-05 17:00:00,1.0,0.0,2.0,Positive,Positive
2021-04-05 17:05:00,1617642300000,58875.75,2021-04-05 17:05:00,0.0,3.0,1.0,Nuetral,Nuetral
2021-04-05 17:10:00,1617642600000,58876.83,2021-04-05 17:10:00,0.0,9.0,0.0,Nuetral,Nuetral
2021-04-05 17:15:00,1617642900000,58852.75,2021-04-05 17:15:00,1.0,14.0,0.0,Nuetral,Nuetral
2021-04-05 17:20:00,1617643200000,58854.88,2021-04-05 17:20:00,0.0,1.0,5.0,Positive,Positive
2021-04-05 17:25:00,1617643500000,58752.79,2021-04-05 17:25:00,2.0,0.0,6.0,Positive,Positive
2021-04-05 17:30:00,1617643800000,58717.77,2021-04-05 17:30:00,1.0,3.0,1.0,Nuetral,Nuetral
2021-04-05 17:35:00,1617644100000,58761.95,2021-04-05 17:35:00,0.0,2.0,1.0,Nuetral,Nuetral
2021-04-05 17:40:00,1617644400000,58946.09,2021-04-05 17:40:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-05 17:45:00,1617644700000,58865.14,2021-04-05 17:45:00,0.0,1.0,3.0,Positive,Positive
2021-04-05 17:50:00,1617645000000,58874.05,2021-04-05 17:50:00,1.0,4.0,0.0,Nuetral,Nuetral
2021-04-05 17:55:00,1617645300000,58946.5,2021-04-05 17:55:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 18:00:00,1617645600000,59007.63,2021-04-05 18:00:00,0.0,2.0,3.0,Positive,Positive
2021-04-05 18:05:00,1617645900000,58947.69,2021-04-05 18:05:00,1.0,4.0,1.0,Nuetral,Nuetral
2021-04-05 18:10:00,1617646200000,58816.43,2021-04-05 18:10:00,0.0,2.0,0.0,Nuetral,Nuetral
2021-04-05 18:15:00,1617646500000,58929.45,2021-04-05 18:15:00,0.0,1.0,6.0,Positive,Positive
2021-04-05 18:20:00,1617646800000,58767.74,,0.0,1.0,6.0,,Positive
2021-04-05 18:25:00,1617647100000,58873.6,2021-04-05 18:25:00,1.0,2.0,1.0,Nuetral,Nuetral
2021-04-05 18:30:00,1617647400000,58873.9,2021-04-05 18:30:00,0.0,3.0,0.0,Nuetral,Nuetral
2021-04-05 18:35:00,1617647700000,58890.72,2021-04-05 18:35:00,0.0,1.0,0.0,Nuetral,Nuetral
2021-04-05 18:40:00,1617648000000,58780.14,2021-04-05 18:40:00,0.0,3.0,2.0,Nuetral,Nuetral
